Nota: 4346
Data: 1937-08-10
Cliente: Jesus Sales Ltda.
CPF: 71227268837
Endereco: Esta��o Sales, 45
Cidade: Pinto
Estado: RR
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='neque', quantidade=6, valorUnitario=76.19, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='ut', quantidade=4, valorUnitario=74.23, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='dolores', quantidade=4, valorUnitario=88.86, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='ratione', quantidade=6, valorUnitario=91.36, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='unde', quantidade=9, valorUnitario=44.18, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='ab', quantidade=3, valorUnitario=17.57, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='delectus', quantidade=4, valorUnitario=34.56, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='ipsa', quantidade=2, valorUnitario=77.9, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='iusto', quantidade=8, valorUnitario=96.3, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='sapiente', quantidade=7, valorUnitario=92.05, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='optio', quantidade=2, valorUnitario=87.17, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='veniam', quantidade=9, valorUnitario=90.58, proximo=null}


Nota: 3439
Data: 1946-08-22
Cliente: Rezende
CPF: 94977825210
Endereco: Col�nia Gomes
Cidade: Foga�a
Estado: RR
Lista: 
 ItemNotaFiscal{itemNumero='1', descricao='dignissimos', quantidade=7, valorUnitario=33.36, proximo=null}
 ItemNotaFiscal{itemNumero='2', descricao='quisquam', quantidade=1, valorUnitario=26.79, proximo=null}
 ItemNotaFiscal{itemNumero='3', descricao='veritatis', quantidade=5, valorUnitario=53.07, proximo=null}
 ItemNotaFiscal{itemNumero='4', descricao='assumenda', quantidade=10, valorUnitario=76.16, proximo=null}
 ItemNotaFiscal{itemNumero='5', descricao='recusandae', quantidade=6, valorUnitario=34.87, proximo=null}
 ItemNotaFiscal{itemNumero='6', descricao='est', quantidade=9, valorUnitario=62.23, proximo=null}
 ItemNotaFiscal{itemNumero='7', descricao='explicabo', quantidade=7, valorUnitario=50.96, proximo=null}
 ItemNotaFiscal{itemNumero='8', descricao='quae', quantidade=8, valorUnitario=35.37, proximo=null}
 ItemNotaFiscal{itemNumero='9', descricao='nesciunt', quantidade=5, valorUnitario=76.52, proximo=null}
 ItemNotaFiscal{itemNumero='10', descricao='consequuntur', quantidade=5, valorUnitario=15.99, proximo=null}
 ItemNotaFiscal{itemNumero='11', descricao='fuga', quantidade=5, valorUnitario=35.82, proximo=null}
 ItemNotaFiscal{itemNumero='12', descricao='omnis', quantidade=8, valorUnitario=61.72, proximo=null}
 ItemNotaFiscal{itemNumero='13', descricao='similique', quantidade=10, valorUnitario=58.24, proximo=null}
